capacity,lambda,mu,patience,buffer_length,waiting_prob,service_level,occupancy,abandonment_rate
31,120,4,1e-05,23.8198628307025,0.7988038938027382,0.5315616134185271,0.9677190990828008,2.3597614439041514e-05
32,120,4,1e-05,9.452832966504362,0.6302182288575967,0.7831108202732804,0.9374992407913455,8.09822564784568e-07
33,120,4,1e-05,4.904775347348215,0.49048612097522426,0.9009732076793511,0.9090905375048113,4.087447076361883e-07
34,120,4,1e-05,2.8228184331289876,0.37637955478912477,0.9554210849119396,0.882352733616286,2.3523487580057179e-07
31,120,4,0.5,6.223469626487724,0.6425397181142335,0.7510636292872275,0.9426472998931954,0.02593112344369808
32,120,4,0.5,4.206280747114405,0.533011029993788,0.8614187584861874,0.9210692158315847,0.01752616977964294
33,120,4,0.5,2.827691679683824,0.43045727576756115,0.9280238152444599,0.8983799557587732,0.011782048665349487
34,120,4,0.5,1.893106446400147,0.3394875987015277,0.9645580201702734,0.8753929910058817,0.00788794352666733
31,120,4,1,4.244239906281064,0.5856161122114576,0.804915560329588,0.9335141943041855,0.035368665885675
32,120,4,1,3.0473978823228616,0.48936540842119103,0.8878179405231179,0.9136922040443528,0.025394982352690332
33,120,4,1,2.158065218242589,0.39885822973246177,0.939607555219686,0.8927419301648293,0.01798387681868785
34,120,4,1,1.5090568029486775,0.31756334157943167,0.9692424223230462,0.8712569352724369,0.012575473357904987
31,120,4,2,2.7664200619016936,0.5208466278184519,0.8538826204545084,0.9231222570661014,0.04610700103169518
32,120,4,2,2.081398393953302,0.43780926183652147,0.9135058222967916,0.9049781500944798,0.03468997323255485
33,120,4,2,1.539608520211251,0.35974675309108406,0.9518251043512309,0.8857635072695264,0.025660142003520958
34,120,4,2,1.1200348355052199,0.2890712312072444,0.9746021673145346,0.8658818406543357,0.018667247258419506
31,120,4,4,1.7273873067256555,0.4516484874220882,0.8945435964519869,0.9120197642991722,0.057579576890855355
32,120,4,4,1.3460302965341395,0.3813570101915158,0.9359805796997163,0.8954365532333077,0.044867676551138436
33,120,4,4,1.0305715462462859,0.3154587502878543,0.9632407545276134,0.8778614682955671,0.03435238487487624
34,120,4,4,0.77502030496176,0.2555512412845258,0.9799797262718413,0.8595582263246545,0.025834010165391552
